Product Name,Product URL,Category,Sale Price (INR),Regular Price (INR),Condition,Brand,Short Description,Availability,SKU
iPhone 12 64GB Black,https://www.giveasy.in/products/iphone-12-64gb-black,"Electronics, Fresh Finds",23000,45000,Good,Apple,"64GB iPhone 12 in black, battery health 87%, dual 12MP cameras, A14 Bionic, 6.1"" OLED display. Never opened/repaired, phone only (no box/accessories).",Available,
Agaro OTG 21 Liter,https://www.giveasy.in/products/agaro-otg-21-liter,"Kitchen, Fresh Finds",3000,5000,Like New,Agaro,"21L OTG oven toaster griller, 90-230°C temp range, 60-min timer, top & bottom heating, tempered glass window. Barely touched, all racks and trays included.",Available,
L Shaped Sofa 5 Seater,https://www.giveasy.in/products/l-shaped-sofa-5-seater,"Living Room, Fresh Finds",16000,40000,Excellent,giveasy,"Grey fabric L-shaped sectional, 5-seater modular config, recently refreshed foam and fabric cover. Well-maintained with recent upgrades.",Available,
Kids Race Car Bed with Storage,https://www.giveasy.in/products/kids-race-car-bed-with-storage,"Bedroom, Fresh Finds",8000,18000,Good,giveasy,"6ft x 3ft solid wood race car bed in red/yellow, built-in storage box, star-patterned mattress included, racing graphics, safety side rails.",Available,
Double Bed with Mattress (Navy Blue),https://www.giveasy.in/products/double-bed-with-mattress-navy-blue,"Bedroom, Fresh Finds",15000,20000,Like New,giveasy,"6x6 ft king/double upholstered bed, channel tufted headboard, blue velvet with gold trim, mattress included. Only 3 months old.",Available,
Black Mesh Office Chair,https://www.giveasy.in/products/black-mesh-office-chair,"Living Room, Fresh Finds",1900,2500,Good,giveasy,"Ergonomic mesh-back office chair, chrome steel base, 5 caster wheels, gas lift height adjust, 360° swivel, lumbar support, ~100kg capacity.",Available,
IKEA HEMLINGBY 2-Seater Sofa,https://www.giveasy.in/products/ikea-hemlingby-2-seater-sofa,"Living Room, Fresh Finds",10000,18000,Like New,IKEA,"HEMLINGBY model, Knisa dark grey fabric, 145cm wide, 71.5cm deep, seat height 42cm. Minimal usage, no stains. 10-year IKEA warranty.",Available,
5 Seater L-Shaped Sofa,https://www.giveasy.in/products/5-seater-l-shaped-sofa,"Living Room, Fresh Finds",16000,55000,Excellent,Krishna Furniture,"Beige & black fabric L-shaped sofa, 5-seater, 5 years old but foam/cushioning in excellent shape. Wicker coffee table included. Tufted seating.",Available,
Fender 60cc Acoustic Guitar,https://www.giveasy.in/products/fender-60cc-acoustic-guitar,"Bedroom, Fresh Finds",17500,25000,Like New (Mint/Unused),Fender,"Fender 60cc dreadnought acoustic, 6-string, spruce wood top, rosewood fretboard & bridge, chrome tuning pegs, natural finish. Never played since purchase.",Available,
Sheesham Bed with Side Tables + Storage,https://www.giveasy.in/products/sheesham-bed-with-side-tables-storage,"Bedroom, Fresh Finds",35000,55000,Excellent (Rarely Used),giveasy,"Solid sheesham wood bed frame with wood paneled headboard, under-bed storage boxes, 2 side tables with drawers, natural finish.",Available,
3+1+1 Seater Sofa Set (Navy Blue),https://www.giveasy.in/products/3-1-1-seater-sofa-set-navy-blue,"Living Room, Fresh Finds",13000,48000,Good,giveasy,"Solid wood frame 5-seater sofa set (3+1+1), navy blue fabric upholstery, grey cushions included, built-in wooden armrest tables, modular.",Available,
Wakefit Engineered Wood Study Table,https://www.giveasy.in/products/wakefit-study-table,"Bedroom, Fresh Finds",7000,11000,Excellent,Wakefit,"4x2 ft engineered wood study table with intact drawer. Regularly used but in good condition. Moving sale from Noida.",Available,
Pepperfry Solid Wood Futon / Sofa Cum Bed,https://www.giveasy.in/products/pepperfry-solid-wood-futon-sofa-cum-bed,"Bedroom, Living Room, Fresh Finds",10000,20000,Like New,Pepperfry,"Solid wood convertible futon, 3ft sofa folds out to 6ft bed, smooth fold-out mechanism. Hardly used, ideal for guest rooms.",Available,
Hestia Cold Press Juicer,https://www.giveasy.in/products/hestia-cold-press-juicer,"Kitchen, Fresh Finds",11999,23990,As New (Mint/Unused),Hestia Appliances,"240W motor, patented auger (3x extraction), 500ml capacity, 7.5kg heavy duty, wine red. Makes juice, sorbets, nut milk. 3 strainers included. Never used, original packaging.",Available,
Homecentre Dresser Mirror with Drawers,https://www.giveasy.in/products/homecentre-dresser-mirror-with-drawers,"Bedroom, Fresh Finds",5000,16000,Lightly Used,Homecentre,"Premium MDF board dresser with dark wood grain finish, full-length vertical mirror, multi-tier shelving. 4 years old, sturdy and functional.",Available,
Jaquar 3L Water Heater,https://www.giveasy.in/products/jaquar-3l-water-heater,"Kitchen, Fresh Finds",2500,3876,Like New (Unused/Sealed),Jaquar,"3L instant water heater, 3kW, stainless steel container, 25-75°C range, 6.5 bar pressure. Unused & sealed for 2 years, 3-year tank warranty.",Available,
6 Seater Sofa + 1 Centre + 1 Side Table,https://www.giveasy.in/products/6-seater-sofa-1-centre-1-side-table,"Living Room, Fresh Finds",35000,70000,Like New,giveasy,"Premium upholstered 6-seater set: 2 large sofas + glass-top centre table + side table. Purchased 2024, plush upholstery, minimal usage, spotless.",Available,
King Size Bed with Mattress + Side Tables,https://www.giveasy.in/products/king-size-bed-with-mattress-side-tables,"Bedroom, Fresh Finds",30000,65000,Like New,giveasy,"72x78 inch king bed with Corfom orthopaedic mattress, premium suede upholstery, hydraulic storage, high back headboard, 2 side tables included. 2024 model.",Available,
King Size Bed (Storage + Mattress + Side Tables),https://www.giveasy.in/products/king-size-bed-storage-mattress-side-tables,"Bedroom, Fresh Finds",30000,68000,Mint (9.5/10),giveasy,"Luxury king bed suite: hydraulic storage bed + Corfom orthopaedic mattress + 2 engineered wood side tables. Diamond-quilt premium suede headboard, taupe/sand color. Jan 2024.",Available,
Geeken Ergonomic Office Chair,https://www.giveasy.in/products/geeken-ergonomic-office-chair,"Living Room, Fresh Finds",7500,13000,Regularly Used,Geeken,"High-back office chair, 360° swivel, heavy chrome base, high-density cushion, smooth casters, active lumbar support. 2024 purchase. 3 units available. Office clearance.",Available,
3+1+1 Designer Sofa Set,https://www.giveasy.in/products/3-1-1-designer-sofa-set,"Living Room, Fresh Finds",20000,38000,Pristine/Lightly Used,giveasy,"Contemporary light blue 3+1+1 designer sofa set, premium fabric upholstery. 2 years old, relocation sale. Open for best offers.",Available,
Sofa with Centre Table & Two Puffs,https://www.giveasy.in/products/sofa-with-centre-table-two-puffs,"Living Room, Fresh Finds",25000,55000,Lightly Used,giveasy,"5-seater L-shape premium leatherette sofa + toughened glass centre table + 2 matching ottomans + high-density foam cushions. 3 years old, no sagging/frame issues.",Available,
Wooden Coffee Table and Chairs,https://www.giveasy.in/products/wooden-coffee-table-and-chairs,"Kitchen, Dining, Living Room, Fresh Finds",7500,11000,Moderately Used,giveasy,"3-piece solid hardwood coffee set: 1 round table + 2 chairs, rustic matte finish. Structurally solid, no wobble. Ideal for coffee corners or balconies.",Available,
MacBook Air (2019),https://www.giveasy.in/products/macbook-air-2019,"Electronics, Fresh Finds",21599,99900,Good,Apple,"1.6GHz Intel i5, 8GB LPDDR3, 128GB SSD, Retina 2560x1600, Intel UHD 617, macOS Sonoma. Battery newly replaced. Note: Touch ID non-functional.",Available,
MacBook Pro (2019) 15"" Space Grey,https://www.giveasy.in/products/macbook-pro-2019-15-space-grey,Electronics,30499,199900,Good,Apple,"Intel Core i7/i9, 16GB DDR4, 512GB SSD, Retina 15.4"", Radeon Pro, 4x Thunderbolt 3. Battery recently replaced. Note: Touch Bar display inactive but touch input works.",Available,
Voltas Beko Dishwasher,https://www.giveasy.in/products/voltas-beko-dishwasher,Kitchen,7000,25999,As New,Voltas Beko,"Model DT8S, 8 place settings, 6 wash programs, touchscreen, 8L water/cycle, 300W, 49dB, 2-level racks + cutlery tray, silver. Used only 2-3 times.",Available,
Solid Wood Mandir,https://www.giveasy.in/products/solid-wood-mandir,Living Room,2200,4400,Gently Used,giveasy,"Solid/teak finish wood mandir, 30-32""H x 24-26""W, carved arches & dome top, 2 storage drawers, pull-out diya tray, walnut brown with yellow knobs. Minor burn mark on tray.",Available,GVS540506
Dyson Air Purifier - TP11 (Black/Nickel),https://www.giveasy.in/products/dyson-air-purifier-tp11-black,"Kitchen, Dining, Bedroom, Living Room",33000,39900,Pre-owned (In Warranty),Dyson,"Dyson Purifier Cool PC1, HEPA H13 filtration, 350° oscillation, WiFi enabled, MyDyson app, 81m3 room coverage, 4.72kg. Filter health 90%+, bill & box available. Purchased Oct 2025.",Sold Out,
Apple iPhone 11 (Black 64 GB),https://www.giveasy.in/products/apple-iphone-11-black-64-gb,Electronics,14999,43900,Good,Apple,"6.1"" Liquid Retina, A13 Bionic, 64GB, 12MP dual rear + 12MP front, Face ID working. Battery health 81%, clean IMEI, unlocked. Purchased 2020, never repaired.",Sold Out,
Morphy Richards OFR 13-Fin,https://www.giveasy.in/products/morphy-richards-ofr-13-fin,"Bedroom, Living Room, Dining, Sold Out",7000,22699,Excellent (Mint),Morphy Richards,"13-fin OFR + PTC fan heater, 2900W max, adjustable dial, 360° castors, tip-over safety sensor. Barely used, original bill included (Jan 2024). Relocation sale.",Sold Out,
3-Piece Hydraulic Bed Set,https://www.giveasy.in/products/3-piece-hydraulic-bed-set,"Bedroom, Sold Out",22000,50000,Like New,giveasy,"Queen Plus hydraulic storage bed (210x157cm) + Kurlon memory foam mattress + 2 side tables. 1 year old, frame & hydraulics in mint condition.",Sold Out,
Marble Top Peg Tables Set of 2,https://www.giveasy.in/products/marble-top-peg-tables-set-of-2,"Bedroom, Living Room, Sold Out",14000,40000,Excellent/Polished,giveasy,"Natural marble top with stainless steel geometric inlay frame, contemporary square shape, heavy non-wobble base. Luxury accent tables sold as pair.",Sold Out,
King Size Bed with Mattress,https://www.giveasy.in/products/king-size-bed-with-mattress,"Bedroom, Sold Out",15000,25000,Like New,giveasy,"6x6 ft king double bed, reinforced frame, integrated deep box storage, mattress included. 2024 model, pristine condition. Moving sale Sector 57 Gurgaon.",Sold Out,
Apple iPhone 11 (Black 64 GB) [duplicate listing check],https://www.giveasy.in/products/apple-iphone-11-black-64-gb,"Electronics, Sold Out",14999,43900,Good,Apple,"6.1"" Liquid Retina, A13 Bionic, 64GB, dual 12MP cameras. Battery 81%, clean IMEI, unlocked.",Sold Out,
Home Centre Sliding Cupboard,https://www.giveasy.in/products/home-centre-sliding-cupboard,"Bedroom, Sold Out",12000,42000,Good (No Dents),Home Centre,"7ft x 9ft high-capacity wardrobe, high-quality plywood, 2 sliding doors, multiple cabinets & ample drawers. ~8 years old, regularly used, no structural damage.",Sold Out,
Sofa-cum-Bed with Overhead Storage,https://www.giveasy.in/products/sofa-cum-bed-with-overhead-storage,"Bedroom, Living Room, Sold Out",9000,29000,Mint/Sparingly Used,giveasy,"Children's sofa-bed in pink & cream, heavy-duty panel construction, overhead cabinets, under-bed pull-out mechanism, open display cubbies. ~6ft single/twin config.",Sold Out,
Evok King Size Bed,https://www.giveasy.in/products/evok-king-size-bed,"Bedroom, Sold Out",15000,40000,Moderately Used,Evok (Hindware),"Premium Evok king bed frame 78x72 inches, leg base (no storage), modern minimalist design. 2024 model.",Sold Out,
Evok Terence King Size Bed with Storage,https://www.giveasy.in/products/evok-terence-king-size-bed-with-storage,"Bedroom, Sold Out",18000,35000,Lightly Used,Evok (Hindware),"Evok Terence king bed 2.03m x 1.93m, 115kg heavy duty engineered wood, walnut finish, upholstered headboard. Note: hydraulic lift non-functional, manual lift storage works.",Sold Out,
Evok King Size Bed with Storage,https://www.giveasy.in/products/evok-king-size-bed-with-storage,"Bedroom, Sold Out",18000,40000,Moderately Used,Evok (Hindware),"Premium Evok king bed 78x72 inches with in-built box storage. 2024 model, regularly maintained in clean condition.",Sold Out,
Sofa-cum-Bed with Storage,https://www.giveasy.in/products/sofa-cum-bed,"Living Room, Sold Out",13999,22000,Like New,giveasy,"Designer modular sofa converting to 6x6ft king-size bed, premium grey tufted fabric, hidden storage for bedding. 8 months old, used <5 times for guests.",Sold Out,
JBL Bar 2.1 Deep Bass Soundbar with Subwoofer,https://www.giveasy.in/products/jbl-bar-2-1-deep-bass-soundbar-with-subwoofer,"Bedroom, Living Room, Dining, Sold Out",12599,34999,Excellent (Mint/Like New),JBL,"300W total, wireless bass subwoofer, HDMI ARC / Optical, Dolby Digital. 3 years old, carefully used in smoke-free home, remote included.",Sold Out,
Solid Sheesham Trundle Bed,https://www.giveasy.in/products/sheesham-single-bed-with-mattress-by-wakefit,"Bedroom, Sold Out",17000,27796,As New,giveasy,"Honey polished sheesham wood trundle bed 2.1m x 0.98m x 0.91m, termite-resistant, noise-free smooth trundle sliders. Includes Wakefit + cotton mattress. 6 months old, 7-year warranty.",Sold Out,
Honeywell Air Purifier,https://www.giveasy.in/products/honeywell-air-purifier,"Kitchen, Dining, Living Room, Bedroom, Sold Out",4000,8000,Regularly Used,Honeywell,"HAC25 model, True HEPA + activated carbon, CADR 250 CMH (up to 30 sq.m), 3D suction, child lock, 3 speeds. Custom matte black paint, minor scuffs. 4 years old.",Sold Out,
Wakefit Lumara 2-Seater Sofa,https://www.giveasy.in/products/wakefit-lumara-2-seater-sofa,"Bedroom, Living Room",11000,22000,Lightly Used,Wakefit,"Stone grey 2-seater, 1.6m x 96.5cm, pine & plywood frame, zig-zag springs, 40-density foam. No stains/tears, ~6 months used. 3-year manufacturer warranty active.",Available,
Study Table and Chair,https://www.giveasy.in/products/study-table-and-chair,"Bedroom, Living Room",7000,15000,Used (3 years),giveasy,"Engineered wood + glass top study table with lockable drawer & cabinet + cushioned office chair with armrests & rolling base. Minor laminate chipping on corners; glass intact.",Available,
Urban Ladder 3-Seater Sofa (Marine Blue),https://www.giveasy.in/products/urban-ladder-3-seater-sofa-marine-blue,"Living Room, Sold Out",7000,12999,Good (Used),Urban Ladder,"Winston model, solid neem wood frame, marine blue fabric, 1.77m x 75cm x 83.9cm, 48.5kg. Flared-top armrests. 2.5 years used, minor wear. Warranty expired.",Sold Out,
Urban Ladder 2-Seater Sofa,https://www.giveasy.in/products/urban-ladder-2-seater-sofa,"Living Room, Sold Out",5000,9999,As New,Urban Ladder,"Winston model, solid neem wood frame, marine blue fabric, 1.25m x 75cm x 83.9cm, 36.3kg. Compact for studios/small spaces. 1.5 years old, no sagging.",Sold Out,
Godrej Interio Aircon Ergonomic Chair,https://www.giveasy.in/products/godrej-interio-aircon-mid-back-ergonomic-chair,"Living Room, Sold Out",9000,17383,As New,Godrej Interio,"Model 56101522SD03928, ash grey leatherette + mesh back, chrome base, 76x101-112x73.7cm. Minimal use, no marks, smooth wheels. Feb 2024 purchase.",Sold Out,
Solid Wood Dining Table (6 Seater),https://www.giveasy.in/products/solid-wood-dining-table-6-seater,"Kitchen, Dining, Sold Out",16500,35000,As New,M Studio,"Sheesham dining table 60x36x30 inches with tempered glass top, walnut brown finish, beige upholstery chairs, seats 6. One minor surface scratch. Purchased Nov 2023.",Sold Out,
Prestige Sandwich Maker (800 Watts),https://www.giveasy.in/products/prestige-sandwich-maker-800-watts,"Kitchen, Sold Out",600,1595,Regularly Used,Prestige,"Model PGMFB, 800W/230V, fixed non-stick grill plates, 23x21x10cm, 1.05kg. Heats evenly, lock mechanism works. Minor plate browning, exterior scuffs, chipped handle section.",Sold Out,
Philips Bread Toaster,https://www.giveasy.in/products/philips-bread-toaster,"Kitchen, Sold Out",1000,2795,Gently Used,Philips,"2-slot toaster, variable width self-centering, 8 browning settings, integrated bun warming rack, 830W/230V, 1.07kg. Light surface scratches. Dust cover included.",Sold Out,
Solid Wood Dresser with Mirror,https://www.giveasy.in/products/solid-wood-dresser-with-mirror,"Bedroom, Sold Out",11000,15000,As New,giveasy,"Solid sheesham hardwood dresser 72x28x16 inches with full mirror, textured panels, open shelves, wide drawer, woven-texture cabinet.",Sold Out,
Solid Wood 3-Drawer Side Tables (Set of 2),https://www.giveasy.in/products/solid-wood-3-drawer-side-tables-set-of-2,"Bedroom, Sold Out",5000,10000,As New,giveasy,"Pair of sheesham wood bedside tables, 18x16x24 inches each, 3 smooth-sliding drawers each, hand-polished matte finish. Purchased Nov 2023, excellent condition.",Sold Out,
Solid Wood Side Tables (Set of 2),https://www.giveasy.in/products/solid-wood-side-tables-set-of-2,"Bedroom, Sold Out",6600,10000,As New,giveasy,"Pair of sheesham wood side tables, 18x16x24 inches each, pull-out drawer + cabinet storage, hand-polished matte natural finish. Purchased Nov 2023.",Sold Out,
Wakefit Deewan Mattress,https://www.giveasy.in/products/deewan-mattress,"Bedroom, Sold Out",4000,7053,As New,Wakefit,"Dual-comfort reversible mattress 72x36x6 inches, high-resilience foam + responsive comfort layer, soft and firm sides. Lightly used, 8-year warranty remaining. Nov 2023.",Sold Out,
Queen Sized Bed,https://www.giveasy.in/products/queen-sized-bed,"Bedroom, Sold Out",16500,20000,As New,giveasy,"Sheesham wood queen platform bed, fits standard queen mattress ~78x60 inches, premium laminate finish, matte texture, cushioned headboard. Barely used, Nov 2023.",Sold Out,
Wakefit 6-Inch Latex Queen Mattress,https://www.giveasy.in/products/wakefit-6-inch-latex-queen-mattress,"Bedroom, Sold Out",0,0,As New,Wakefit,"Natural latex + high-resilience foam, 72x58x6 inches, orthopedic support, cool breathable sleep. Barely used, retains original firmness. 8-year warranty remaining. Nov 2023.",Sold Out,
Solid Wood Deewan,https://www.giveasy.in/products/solid-wood-deewan,"Bedroom, Living Room, Sold Out",7700,10000,As New,giveasy,"Solid wood daybed 72x30x24 inches with premium upholstery cushioning, rich brown matte polish. Barely used, firm and clean. Ideal for lounging/guest seating.",Sold Out,
Sheesham Wood Shoe Rack,https://www.giveasy.in/products/sheesham-wood-shoe-rack,"Living Room, Sold Out",4800,6000,As New (Gently Used),giveasy,"Solid sheesham (Indian rosewood) shoe rack/storage cabinet 32x36x16 inches, geometric carved design, hand-polished matte finish, natural brown. Purchased June 2025.",Sold Out,
